1.623776739188721382e-02 -2.157365846940108867e+01
3.569698846826064448e-02 -1.754211922643256827e+01
7.847599703514611391e-02 -1.362933523079424702e+01
1.725210549942040317e-01 -9.855322496934554977e+00
3.792690190732248556e-01 -6.301988900936770222e+00
8.337822234717888747e-01 -3.181090259536141218e+00
1.832980710832435189e+00 -8.590758886964167118e-01
4.029611320200399582e+00 0.000000000000000000e+00
8.858667904100824941e+00 -2.015928664876682319e+00
1.947483039908755487e+01 -1.003647441980570676e+01
4.281332398719392529e+01 -3.097820760917581850e+01
9.412049672680664969e+01 -8.007403601749132349e+01
2.069138081114788861e+02 -1.908326840871746981e+02
4.548777947003775353e+02 -4.369366255128631451e+02
9.999999999999996589e+02 -9.803728058131199532e+02
