0.037 12.4116733920021 215.052988840511
0.0428905223557471 16.1220771260162 248.608936496666
0.0497188353499688 20.9629850980324 287.288926738893
0.0576342383535012 27.2818624648135 331.824579428378
0.0668097996907379 35.5293070340814 383.027570893483
0.0774461407356374 46.2862833120764 441.786680662491
0.0897758224483296 60.2963632021481 509.058193933761
0.104068430262856 78.5025128507233 585.846702159973
0.120636468505852 102.086900315281 673.172698518707
0.139842193226179 132.510567369124 772.022943791297
0.162105532833626 171.547534442886 883.279710564948
0.187913269729484 221.305064218286 1007.62617624757
0.217829683683081 284.218759986831 1145.42800860244
0.252508889669041 363.008726774141 1296.5961021818
0.292709139929051 460.58251671743 1460.44265144958
0.339309402969148 579.87376915089 1635.5516418297
0.393328581988201 723.614009813157 1819.69347839481
0.455947792943764 894.049623914184 2009.81849572082
0.528536189359677 1092.63495463606 2202.16130837902
0.61268089852845 1319.75113308081 2392.47397267061
0.710221723656046 1574.5113832628 2576.38050128147
0.82329137070289 1854.70979881894 2749.81326389248
0.954362079470973 2156.94832344741 2909.4630099589
1.10629967851425 2476.93931563594 3053.16012751256
1.28242624576949 2809.93939771541 3180.11303537456
1.48659274496684 3151.23842347415 3290.9597158883
1.72326322599708 3496.61641860029 3387.63083722965
1.9976124302558 3842.69404529688 3473.06347756628
2.31563893508121 4187.13223352238 3550.83079208491
2.68429631116051 4528.67255022297 3624.75957173692
3.11164516062918 4867.0404882302 3698.59682760942
3.60702936013832 5202.75258066392 3775.76556122105
4.18128036240133 5536.8741177299 3859.22682526185
4.84695402322218 5870.77026136897 3951.44583999436
5.61860513216998 6205.88391415793 4054.44681528338
6.51310564944465 6543.5625754739 4169.93412053973
7.55001360710402 6884.94590810527 4299.4551397593
8.75200074058622 7230.91678812381 4444.58099903492
10.1453482005846 7582.11139343763 4607.08424668921
11.7605211838922 7938.97836797549 4789.09686842711
13.6328350473774 8301.87333874752 4993.23733637917
15.8032274695069 8671.17322860103 5222.70129705278
18.3191535425363 9047.39501230512 5481.31641948988
21.2356233663383 9431.30569625622 5773.56717068192
24.6164048305989 9824.01395759282 6104.5992463554
28.5354178839168 10227.0384292953 6480.21568499332
33.0783507751547 10642.3523796712 6906.87727553505
38.3445336057572 11072.4089426927 7391.71896267797
44.4491101577953 11520.1547759378 7942.59194262048
51.5255554842158 11989.042965329 8568.13841289693
59.7285943077851 12483.0582430157 9277.90276141564
69.2375840387948 13006.769279113 10082.4794528493
80.2604363803743 13565.4240460426 10993.6939483176
93.0381632663369 14165.1050206513 12024.80854758
107.850146527364 14812.9611417091 13190.7399352108
125.020246505473 15517.5327316542 14508.2693537769
144.923883180109 16289.1837012418 15996.21969242
167.996244632923 17140.6518980444 17675.566394589
194.741802327295 18087.7229405799 19569.4410192907
225.74534125182 19150.0246024644 21702.9776774462
261.684746099107 20351.9267598743 24102.9437675419
303.345823046534 21723.5146927671 26797.0883172663
351.639481213511 23301.579457935 29813.1356095686
407.621649463551 25130.5365840629 33177.3519126364
472.516364027107 27263.142925149 36912.624241844
547.742531750298 29760.832996248 41036.0193421796
634.944954141341 32693.4466160086 45555.8469008901
736.030290547785 36138.081503853 50468.3408758861
853.208746790456 40176.7972311547 55754.1993737838
989.042400765812 44892.9462665613 61375.3787858499
1146.50122164399 50366.04010208 67272.6972344613
1329.02800750846 56665.2897769704 73364.9208483559
1540.61366128259 63842.2813929112 79550.0223152008
1785.88445083272 71923.6094355262 85709.1513886478
2070.20316116815 80904.6004298094 91713.504337247
2399.78635040598 90745.3945495997 97433.7448444626
2781.84027327309 101370.502952602 102751.013012522
3224.71844407939 112672.480406742 107568.031526077
3738.10428423721 124519.613654139 111818.567046309
4333.22284787001 136766.706381634 115473.660031844
5023.08625483792 149267.380928196 118543.599945898
5822.77819751274 161886.020456425 121075.452853286
6749.78374197236 174507.629355574 123146.80678321
7824.37163463579 187044.428282121 124857.047666319
9070.03747337893 199438.741940937 126317.764712864
10514.0174329574 211662.466322527 127643.789117738
12187.8837772155 223713.947515834 128945.986425795
14128.2351788084 235613.386023832 130326.397677826
16377.4969401063 247397.905911635 131875.797845027
18984.8486119137 259117.25955368 133673.307714288
22007.2992921557 270830.855531247 135787.400202434
25510.9341156709 282606.468483721 138277.486501621
29572.359189302 294520.663440988 141195.232131778
34280.3765654308 306660.670911694 144584.811601148
39737.925876839 319127.19472716 148481.437931946
46064.3350862591 332037.42279828 152907.680117623
53397.9295626978 345527.333288094 157867.297197781
61899.0565313379 359752.232714066 163336.576640691
71753.591025865 374884.321382972 169253.492893855
83177 391105.972440413 175505.447827927
